detected_utc,detected_taipei,prev_snapshot_taipei,run_kind,direction,train_date,train_no,departure_time,seat_class,old_status,new_status,days_before
2026-06-11T23:17:28+00:00,2026-06-12T07:17:28+08:00,2026-06-12T02:20:38+08:00,today,台北→左營,2026-06-12,0117,09:31,business,Limited,Full,0
2026-06-11T23:17:28+00:00,2026-06-12T07:17:28+08:00,2026-06-12T02:20:38+08:00,today,台北→左營,2026-06-12,0129,12:31,standard,Available,Limited,0
2026-06-11T23:17:28+00:00,2026-06-12T07:17:28+08:00,2026-06-12T02:20:38+08:00,today,台北→左營,2026-06-12,0133,13:31,standard,Full,Limited,0
2026-06-11T23:17:28+00:00,2026-06-12T07:17:28+08:00,2026-06-12T02:20:38+08:00,today,台北→左營,2026-06-12,0137,14:31,standard,Full,Limited,0
2026-06-11T23:17:28+00:00,2026-06-12T07:17:28+08:00,2026-06-12T02:20:38+08:00,today,台北→左營,2026-06-12,0137,14:31,business,Full,Limited,0
2026-06-11T23:17:28+00:00,2026-06-12T07:17:28+08:00,2026-06-12T02:20:38+08:00,today,台北→左營,2026-06-12,0141,15:31,business,Limited,Full,0
2026-06-11T23:17:28+00:00,2026-06-12T07:17:28+08:00,2026-06-12T02:20:38+08:00,today,台北→左營,2026-06-12,0145,16:31,business,Available,Limited,0
2026-06-11T23:17:28+00:00,2026-06-12T07:17:28+08:00,2026-06-12T02:20:38+08:00,today,台北→左營,2026-06-12,0203,06:30,business,Available,Limited,0
2026-06-11T23:17:28+00:00,2026-06-12T07:17:28+08:00,2026-06-12T02:20:38+08:00,today,台北→左營,2026-06-12,0205,07:51,business,Full,Limited,0
2026-06-11T23:17:28+00:00,2026-06-12T07:17:28+08:00,2026-06-12T02:20:38+08:00,today,台北→左營,2026-06-12,0249,18:51,business,Available,Limited,0
2026-06-11T23:17:28+00:00,2026-06-12T07:17:28+08:00,2026-06-12T02:20:38+08:00,today,台北→左營,2026-06-12,0333,21:56,standard,Limited,Available,0
2026-06-11T23:17:28+00:00,2026-06-12T07:17:28+08:00,2026-06-12T02:20:38+08:00,today,台北→左營,2026-06-12,0609,07:46,business,Available,Limited,0
2026-06-11T23:17:28+00:00,2026-06-12T07:17:28+08:00,2026-06-12T02:20:38+08:00,today,台北→左營,2026-06-12,0613,08:21,standard,Full,Limited,0
2026-06-11T23:17:28+00:00,2026-06-12T07:17:28+08:00,2026-06-12T02:20:38+08:00,today,台北→左營,2026-06-12,0615,08:46,standard,Full,Limited,0
2026-06-11T23:17:28+00:00,2026-06-12T07:17:28+08:00,2026-06-12T02:20:38+08:00,today,台北→左營,2026-06-12,0615,08:46,business,Limited,Full,0
2026-06-11T23:17:28+00:00,2026-06-12T07:17:28+08:00,2026-06-12T02:20:38+08:00,today,台北→左營,2026-06-12,0657,15:46,standard,Full,Limited,0
2026-06-11T23:17:28+00:00,2026-06-12T07:17:28+08:00,2026-06-12T02:20:38+08:00,today,台北→左營,2026-06-12,0667,17:21,business,Available,Limited,0
2026-06-11T23:17:28+00:00,2026-06-12T07:17:28+08:00,2026-06-12T02:20:38+08:00,today,台北→左營,2026-06-12,0673,18:21,business,Full,Limited,0
2026-06-11T23:17:28+00:00,2026-06-12T07:17:28+08:00,2026-06-12T02:20:38+08:00,today,台北→左營,2026-06-12,0675,18:46,business,Full,Limited,0
2026-06-11T23:17:28+00:00,2026-06-12T07:17:28+08:00,2026-06-12T02:20:38+08:00,today,台北→左營,2026-06-12,0681,19:46,business,Available,Limited,0
2026-06-11T23:17:28+00:00,2026-06-12T07:17:28+08:00,2026-06-12T02:20:38+08:00,today,台北→左營,2026-06-12,0687,20:46,standard,Full,Limited,0
